zona,enderecos_lista,latitude,longitude,area,quartos,aluguel
centro,"Rua Senador Dantas, Centro, Rio de Janeiro, RJ",-22.91041,-43.17737,50.0,1.0,970
centro,"Rua Das Marrecas, Centro, Rio de Janeiro, RJ",-22.9123,-43.17794,28.0,1.0,1224
centro,"Rua De Santana, Centro, Rio de Janeiro, RJ",-22.90892,-43.19369,38.0,1.0,1000
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,62.0,2.0,2200
centro,"Rua João Neves Da Fontoura, Centro, Rio de Janeiro, RJ",-22.91777,-43.69936,48.0,2.0,1001
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,45.0,1.0,1600
centro,"Rua Guilherme Marconi, Centro, Rio de Janeiro, RJ",-22.91778,-43.18853,42.0,1.0,2712
centro,"Avenida Mem De Sá, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,98.0,2.0,1890
centro,"Rua Das Marrecas, Centro, Rio de Janeiro, RJ",-22.9123,-43.17794,30.0,1.0,1900
centro,"Rua Das Marrecas, Centro, Rio de Janeiro, RJ",-22.9123,-43.17794,30.0,1.0,1224
centro,"Rua Eleone De Almeida, Catumbi, Rio de Janeiro, RJ",-22.91663,-43.19393,50.0,2.0,1200
centro,"Avenida Beira Mar, Centro, Rio de Janeiro, RJ",-22.91168,-43.17252,72.0,2.0,2303
centro,"Rua Do Chichorro, Catumbi, Rio de Janeiro, RJ",-22.91687,-43.19655,80.0,2.0,2163
centro,"Praça Presidente Aguirre Cerda, Centro, Rio de Janeiro, RJ",-22.91757,-43.1882,28.0,1.0,1380
centro,"Rua Do Chichorro, Catumbi, Rio de Janeiro, RJ",-22.91687,-43.19655,78.0,2.0,1500
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,30.0,1.0,1350
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,60.0,2.0,2500
centro,"Rua Ubaldino Do Amaral, Centro, Rio de Janeiro, RJ",-22.91141,-43.18676,75.0,2.0,3000
centro,"Rua Dos Inválidos, 185 , Centro, Rio de Janeiro, RJ",-22.91365,-43.18411,53.0,1.0,1690
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,30.0,1.0,1000
centro,"Rua Carlos De Carvalho , Centro, Rio de Janeiro, RJ",-22.91113,-43.18829,25.0,1.0,1000
centro,"Rua Evaristo Da Veiga, Centro, Rio de Janeiro, RJ",-22.91073,-43.17762,19.0,1.0,848
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,32.0,1.0,1155
centro,"Rua Do Rezende, Centro, Rio de Janeiro, RJ",-22.91322,-43.18609,25.0,1.0,700
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,27.0,1.0,850
centro,"Rua Álvaro Alvim, Centro, Rio de Janeiro, RJ",-22.91111,-43.1763,24.0,1.0,700
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,550.0,5.0,5250
centro,"Avenida Treze De Maio, Centro, Rio de Janeiro, RJ",-22.90926,-43.17689,32.0,1.0,870
centro,"Rua Sete De Setembro 111, 111, Centro, Rio de Janeiro, RJ",-22.9054,-43.17826,400.0,,10000
centro,"Rua Lapa, Centro, Rio de Janeiro, RJ",-22.91611,-43.17754,28.0,1.0,900
centro,"Rua Das Marrecas, Centro, Rio de Janeiro, RJ",-22.9123,-43.17794,30.0,1.0,1250
