,zona,area_quartos,enderecos_lista,aluguel
0,centro,50 m² construídos1 quarto,"Rua Senador Dantas, Centro, Rio De Janeiro Centro, Rio De Janeiro",970
1,centro,28 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.224
2,centro,38 m² construídos1 quarto,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
3,centro,62 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
4,centro,48 m² construídos2 quartos,"Rua João Neves Da Fontoura, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.001
5,centro,45 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.600
6,centro,42 m² construídos1 quarto,"Rua Guilherme Marconi, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.712
7,centro,98 m² construídos2 quartos,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.890
8,centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
9,centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.224
10,centro,50 m² construídos2 quartos,"Rua Eleone De Almeida, Catumbi, Rio De Janeiro Centro, Rio De Janeiro",1.200
11,centro,72 m² construídos2 quartos,"Avenida Beira Mar, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.303
12,centro,80 m² construídos2 quartos,"Rua Do Chichorro, Catumbi, Rio De Janeiro Centro, Rio De Janeiro",2.163
13,centro,28 m² construídos1 quarto,"Praça Presidente Aguirre Cerda, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.380
14,centro,78 m² construídos2 quartos,"Rua Do Chichorro, Catumbi, Rio De Janeiro Centro, Rio De Janeiro",1.500
15,centro,30 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.350
16,centro,60 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
17,centro,75 m² construídos2 quartos,"Rua Ubaldino Do Amaral, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
18,centro,53 m² construídos1 quarto,"Rua Dos Inválidos, N.º 185 - Centro, Rio De Janeiro - Rj, 20231-046, Brasil, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.690
19,centro,30 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
20,centro,25 m² construídos1 quarto,"R. Carlos De Carvalho - Centro, Rio De Janeiro - Rj, 20230-180, Brasil, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
21,centro,19 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",848
22,centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.155
23,centro,25 m² construídos1 quarto,"Rua Do Rezende, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
24,centro,27 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
25,centro,24 m² construídos1 quarto,"Rua Álvaro Alvim, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
26,centro,550 m² construídos5 quartos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.250
27,centro,32 m² construídos1 quarto,"Avenida Treze De Maio, Centro, Rio De Janeiro Centro, Rio De Janeiro",870
28,centro,400 m² construídos,"Rua Sete De Setembro 111, 111, Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
29,centro,28 m² construídos1 quarto,"Rua Lapa, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
30,centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
31,centro,28 m² construídos1 quarto,"Rua Dos Inválidos, Centro, Rio De Janeiro Centro, Rio De Janeiro",880
32,centro,40 m² construídos1 quarto,"Rua Senhor De Matosinhos, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",1.070
33,centro,45 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.190
34,centro,34 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
35,centro,110 m² construídos3 quartos,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
36,centro,30 m² construídos1 quarto,"Rua Acre, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
37,centro,30 m² construídos1 quarto,"Rua Acre, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
38,centro,39 m² construídos1 quarto,"Rua Alcântara Machado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.500
39,centro,40 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.670
40,centro,77 m² construídos2 quartos,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.790
41,centro,34 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
42,centro,40 m² construídos1 quarto,"Rua André Cavalcanti, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.300
43,centro,86 m² construídos2 quartos,"Avenida Presidente Antônio Carlos, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.700
44,centro,28 m² construídos1 quarto,"Rua Guilherme Marconi, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
45,centro,40 m² construídos1 quarto,"Rua Guilherme Marconi, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.560
46,centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",1.780
47,centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.450
0,centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
1,centro,75 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.700
2,centro,51 m² construídos2 quartos,"Rua Leandro Martins, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.285
3,centro,40 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
4,centro,50 m² construídos1 quarto,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
5,centro,42 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.720
6,centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
7,centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
8,centro,44 m² construídos1 quarto,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.610
9,centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
10,centro,53 m² construídos2 quartos,"Rua Tenente Possolo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.500
11,centro,18 m² construídos1 quarto,"Rua Taylor, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.100
12,centro,48 m² construídos1 quarto,"Rua Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.090
13,centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
14,centro,31 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
15,centro,47 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
16,centro,32 m² construídos1 quarto,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
